ESTACIONES,MES,AÑO,PRECIP. MES (mm.),ANOMALIA RESPEC. PROMEDIO CLIMATOLOGICO,% RESPECTO PROMEDIO CLIMATOLOGICO,PREC. ACUM. AÑO AGRIC. (mm.),% RESPECTO PROMEDIO CLIMATOLOGICO,Tª  MÁXIMA ABSOL (ºC),Tª  MINIMA ABSOL. (ºC),TEMP. MEDIA DE MEDIAS (ºC),ANOMALIA (ºC)
AINSA,1,2016,47.8,-8.03666666666666,85.6068294430184,245.1,56.2052834342322,17.8,-5,6.1,2315
AINSA,10,2016,67.6,-38.9033333333333,63.4721917936841,142.4,71.3200554266348,26.8,4.3,14.8,1.06
AINSA,2,2016,105.6,66.9466666666667,273.197654363574,350.7,73.8730515377054,21,-4.9,6.8,0.956666666666666
AINSA,8,2016,4,-55.2133333333333,6.75523530736321,679.9,74.0817416128224,35.6,12.4,24,0.833333333333329
AINSA,12,2016,1.4,-83.5166666666667,1.648675171737,295,77.5818993100909,17.1,-3.9,5.8,1.36383333333333
AINSA,6,2016,25,-49.37,33.6157052574963,616.3,77.6229060833788,33.4,5.7,20,-0.344666666666669
AINSA,3,2016,62.2,12.16,124.300559552358,412.9,78.6815895116622,22.3,-2.9,8.4,-1315
AINSA,7,2016,59.6,-4.99,92.2743458739743,675.9,78.7251472432416,37.6,9.1,24.1,1.01666666666667
AINSA,9,2016,74.8,-18.36,80.2919708029197,74.8,80.2919708029197,37.5,7.9,20.6,2.43666666666667
AINSA,5,2016,72.2,-30.5433333333333,70.2721993316679,591.3,82.1710309942144,27.4,2.1,14.6,-1.91
AINSA,4,2016,103.8,11.72,112.728062554301,516.7,83.7638336503545,22.3,1.8,11.3,-0.209999999999999
AINSA,11,2016,151.2,55.5366666666666,158.05428760584,293.6,99.4153366893158,19,-1,8.9,0.800000000000001
ALBARRACÍN,9,2016,6,-31.1,16.1725067385445,6,16.1725067385445,36.2,4.7,18,1.7
ALBARRACÍN,10,2016,30.6,-11.7,72.3404255319149,36.6,46.095717884131,27,2.2,13.6,2.3
ALBARRACÍN,1,2016,15.8,-7.1,68.9956331877729,106.4,64.0963855421687,18.4,-6.9,5.9,3
ALBARRACÍN,7,2016,1.2,-16.8,6.66666666666667,248,67.2268907563025,36.3,4.7,22.2,1.2
ALBARRACÍN,8,2016,31.6,2.5,108.591065292096,279.6,70.251256281407,34.5,6.8,21.9,1.2
ALBARRACÍN,6,2016,22.8,-18,55.8823529411765,246.8,70.3334283271587,32.2,1.7,18.6,1.2
ALBARRACÍN,5,2016,23.8,-35.3,40.2707275803723,224,72.234762979684,26,-4,12.6032258064516,-0.196774193548389
ALBARRACÍN,2,2016,29.6,9.2,145.098039215686,136,72.9613733905579,15.4,-10,5,0.6
ALBARRACÍN,3,2016,26.6,3.9,117.180616740088,162.6,77.7618364418938,21.3,-6.4,5.3,-1.6
ALBARRACÍN,12,2016,17.2,-16.7,50.7374631268437,112,78.2669461914745,15.9,-6.3,4.8,1.4
ALBARRACÍN,4,2016,37.6,-4.3,89.7374701670644,200.2,79.7609561752988,20.2,-3.4,8.7,0
ALBARRACÍN,11,2016,58.2,28.4,195.302013422819,94.8,86.8131868131868,22.5,-3.7,6.6,0.199999999999999
ALCAÑIZ,12,2016,4.7,-17.8,20.8888888888889,129.6,103.266932270916,14.9,-1.9,5.2,-0.9
ALCAÑIZ,11,2016,81.8,52.5,279.180887372014,124.9,121.26213592233,21.2,-0.4,9.2,0.199999999999999
ALCAÑIZ,9,2016,9,-24.3,27.027027027027,9,27.027027027027,37.5,9.2,21.1,2.1
ALCAÑIZ,1,2016,17.3,-6.1,73.9316239316239,75.5,50.7051712558764,20.6,-1.1,8.4,2.8
ALCAÑIZ,10,2016,34.1,-6.3,84.4059405940594,43.1,58.4803256445048,29.8,2.8,15.3,0.600000000000002
ALCAÑIZ,8,2016,7.1,-18.2,28.0632411067194,252.4,74.9391342214129,36.4,10.4,23.8,0.3
ALCAÑIZ,7,2016,7.1,-8.7,44.9367088607595,245.3,78.7463082652057,38.5,9.2,24.5,0.800000000000001
ALCAÑIZ,6,2016,4.4,-21,17.3228346456693,238.2,80.5528000721436,35.5,7.8,21.8,1.1
ALCAÑIZ,2,2016,68.8,50.2,369.892473118279,144.3,86.1492537313433,20.9,-3.6,8.7,1.1
ALCAÑIZ,5,2016,20.6,-28.9066666666667,41.6105575006733,233.8,86.494352093918,30.6,2.8,16.3485057471264,-0.226160919540227
ALCAÑIZ,3,2016,25,5.1,125.628140703518,169.3,90.34151547492,23.5,-0.6,9.2,-1.3
ALCAÑIZ,4,2016,43.9,10.5,131.437125748503,213.2,96.5579710144928,26,0.3,12.6,0.0999999999999996
ALHAMA DE ARAGON,3,2016,32.8,10.3,145.777777777778,217.6,100.045977011494,24.2,-5,7.9,-0.9
ALHAMA DE ARAGON,4,2016,63.8,11.7,122.456813819578,281.4,104.376854599407,23.4,-2.8,11.2,0.5
ALHAMA DE ARAGON,9,2016,4.8,-30,13.7931034482759,4.8,13.7931034482759,39.4,6.1,20.6,2
ALHAMA DE ARAGON,10,2016,27.4,-18.2,60.0877192982456,32.2,40.0497512437811,30.9,0.1,15.3,1.6
ALHAMA DE ARAGON,12,2016,7.6,-24.5,23.6760124610592,91.8,63.0927835051546,17.2,-8.6,5.7,0.4
ALHAMA DE ARAGON,11,2016,52,19,157.575757575758,84.2,74.2504409171076,25.9,-3.2,8.4,0.0999999999999996
ALHAMA DE ARAGON,8,2016,0.4,-22.1,1.77777777777778,324.4,76.5636063252301,39.7,7.1,24.4,1.6
ALHAMA DE ARAGON,7,2016,8.2,-12.7,39.2344497607655,324,80.7577268195414,39.5,7.2,24.7,0.699999999999999
ALHAMA DE ARAGON,6,2016,0,-40.3,0,315.8,83.0397054956613,37.9,4,21,1.3
ALHAMA DE ARAGON,1,2016,60,33.6,227.272727272727,144.8,84.2350203606748,18.8,-2,7.8,3.3
ALHAMA DE ARAGON,5,2016,31.2,-39.2,44.3181818181818,315.8,92.8823529411765,30.5,0.7,15.2,0.199999999999999
ALHAMA DE ARAGON,2,2016,40,16.9,173.160173160173,184.8,94.7692307692308,18.2,-6.7,7.3,1.4
ALMUDEVAR,2,2016,94.2,68.9633333333333,373.2664113063,242.2,103.680027396869,18,-2.7,7.6,0.913908045977014
ALMUDEVAR,8,2016,1,-20.33,4.6882325363338,512,115.585187637803,34.5,10.8,23.5,0.720476190476195
ALMUDEVAR,6,2016,17.6,-22.8366666666667,43.5248536806529,479.4,120.098202952769,33.8,8.4,21,0.262238095238093
ALMUDEVAR,7,2016,31.6,9.14,140.694568121104,511,121.195351411179,36,9.5,23.8,0.557471264367809
ALMUDEVAR,11,2016,118.8,73.2233333333333,260.659694288013,176.2,122.933091467243,19.2,-1,8.6,-0.435402298850576
ALMUDEVAR,3,2016,79.2,53.6133333333333,309.536216779573,321.4,124.001697596358,22.1,-2.2,8.5,-1.24402298850575
ALMUDEVAR,5,2016,59.6,7.36333333333332,114.096101078425,461.8,128.729523048476,28.3,2.9,15.3,-0.749761904761901
ALMUDEVAR,4,2016,78.2,30.89,165.292749947157,399.6,130.375203915171,22.4,0.3,11.6,-0.329080459770113
ALMUDEVAR,9,2016,24.6,-20.7966666666667,54.1890006608415,24.6,54.1890006608415,35.2,8.3,20.8,1.60275862068966
ALMUDEVAR,10,2016,32.8,-19.5566666666667,62.6472273508627,57.4,58.7192252608607,28.6,2.7,15.4,0.821034482758621
ALMUDEVAR,1,2016,39.4,12.1833333333333,144.76423759951,148,71.0286354183331,17.4,-1.9,7.5,2.31827586206897
ALMUDEVAR,12,2016,2.8,-35.02,7.4034902168165,179,98.8131382831907,16.4,-3.2,5,-0.582528735632183
ANDORRA,11,2016,67.7,37.4,223.432343234323,110.5,102.504638218924,19.2,1.1,8.8,0.242500000000001
ANDORRA,9,2016,13,-24.3,34.8525469168901,13,34.8525469168901,34.1,10,20.2,1.70416666666667
ANDORRA,1,2016,9.2,-15.1,37.8600823045267,61.4,39.5873629916183,17.4,-1.3,8.4,4.01833333333333
ANDORRA,2,2016,24.8,3,113.761467889908,86.2,48.728094968909,17.4,-4,7.4,1515
ANDORRA,10,2016,29.8,-10.4,74.1293532338308,42.8,55.2258064516129,25.7,5.2,15.1,1.13666666666667
ANDORRA,3,2016,24.4,3.3,115.63981042654,110.6,55.8585858585859,21.3,-1.2,7.7,-1.52416666666667
ANDORRA,8,2016,2.2,-26.8,7.58620689655173,224.9,58.5677083333333,33.5,10.5,23.1,0.674166666666675
ANDORRA,4,2016,34.2,-8.4,80.2816901408451,144.8,60.1828761429759,22.4,1.2,11,0.191666666666668
ANDORRA,7,2016,3.6,-13.6,20.9302325581395,222.7,62.7323943661972,36.1,9.4,23.6,0.610833333333332
ANDORRA,5,2016,9,-49.5,15.3846153846154,188.3,62.9555332664661,28,2,15.2,0.0316666666666698
ANDORRA,6,2016,18.2,-20.5,47.0284237726098,219.1,64.8608644168147,31.7,8.8,20.3,0.600833333333334
ANDORRA,12,2016,9.2,-13.8,40,119.7,91.5137614678899,13.6,-6,6.2,0.833333333333333
ARAGÚES DEL PUERTO,9,2016,61.2,-50.4,54.8387096774194,61.2,54.8387096774194,34.4,6.3,18.6,1.63666666666667
ARAGÚES DEL PUERTO,1,2016,176,66.9,161.319890009166,405.8,59.0082884978915,14,-6.5,5.1,1015
ARAGÚES DEL PUERTO,12,2016,0,-158.2,0,381.2,65.8831662633944,17.2,-3.1,7.4,2.56383333333333
ARAGÚES DEL PUERTO,2,2016,121.8,37.1,143.801652892562,527.6,68.306576903159,19.1,-6.7,5.5,0.756666666666667
ARAGÚES DEL PUERTO,10,2016,120,-33.1,78.3801436969301,181.2,68.4548545523234,25.3,1.9,13.7,1.16
ARAGÚES DEL PUERTO,8,2016,27,-43.5,38.2978723404255,933.2,69.6625858465213,33.7,7.6,21.8,1.23333333333333
ARAGÚES DEL PUERTO,6,2016,25.8,-51.9,33.2046332046332,850.6,70.7124449247652,30.3,3.9,17.3,-0.144666666666669
ARAGÚES DEL PUERTO,7,2016,55.6,-10.6,83.987915407855,906.2,71.4049326294224,34.1,5.6,21.1,0.416666666666671
ARAGÚES DEL PUERTO,5,2016,73.4,-53.4,57.8864353312303,824.8,73.3025239957341,24.8,0.7,12.4,-0.709999999999999
ARAGÚES DEL PUERTO,4,2016,95.2,-43.4,68.6868686868687,751.4,75.2604166666667,19.5,-0.9,8.5,-0.210000000000001
ARAGÚES DEL PUERTO,3,2016,128.6,41.2,147.139588100686,656.2,76.3200744359154,18.1,-3.8,5.5,-1715
ARAGÚES DEL PUERTO,11,2016,200,44.3,128.452151573539,381.2,90.6755470980019,20.3,-1.3,7.7,0
BAILO,11,2016,173.2,80.2466666666667,186.330058093667,299.6,117.214397496088,19.1,-1.6,7.9,0.0233333333333352
BAILO,1,2016,70.6,9.8,116.118421052632,154.6,37.6421319178983,16.5,-2,6.4,1.4
BAILO,2,2016,100,39.9033333333333,166.39858006545,254.6,54.0773990739299,18.2,-6.4,6.1,0.676666666666666
BAILO,9,2016,39.4,-31.14,55.85483413666,39.4,55.85483413666,35.5,8.6,19.8,1.91833333333334
