ESTACIONES,MES,AÑO,PRECIP. MES (mm.),ANOMALIA RESPEC. PROMEDIO CLIMATOLOGICO,% RESPECTO PROMEDIO CLIMATOLOGICO,PREC. ACUM. AÑO AGRIC. (mm.),% RESPECTO PROMEDIO CLIMATOLOGICO,Tª  MÁXIMA ABSOL (ºC),Tª  MINIMA ABSOL. (ºC),TEMP. MEDIA DE MEDIAS (ºC),ANOMALIA (ºC)
AINSA,11,2018,96.6,0.9,100.9,308,104.3,20.2,-0.7,9.1,1
AINSA,5,2018,112.4,9.7,109.4,725.6,100.8,25.9,1.4,15.7,-0.3
AINSA,6,2018,122.2,47.8,164.2,847.8,106.8,31.8,9.4,19.8,-0.5
AINSA,3,2018,149.8,99.8,299.4,395.2,75.3,21.7,-2,7.5,-2.2
AINSA,10,2018,165,58.5,154.9,211.4,105.9,28.7,-1.5,14.1,0.4
AINSA,8,2018,40.2,-19,67.9,908.2,99,37.8,10.9,23.6,0.4
AINSA,7,2018,20.2,-44.4,31.3,868,101.1,34.8,13.2,23.6,0.5
AINSA,4,2018,182.8,90.7,198.5,613.2,99.4,27.5,-1.9,12,0.5
AINSA,2,2018,102.4,63.7466666666667,264.918937564678,427.6,90.0716191546131,19.3,-1.9,7.5,1.65666666666667
AINSA,12,2018,18.8,-66.1,22.1,326.8,85.9,17.4,-3.8,5.8,1.8
AINSA,1,2018,58.6,2.8,105,209.2,48,20.1,-3.2,6.4,2.6
AINSA,9,2018,46.4,-46.8,49.8,46.4,49.8,31.3,9.9,21,2.8
ALBARRACÍN,8,2018,124.4,95.3,427.5,494,124.1,35.4,9.9,21.7,1
ALBARRACÍN,10,2018,146.4,104.1,346.1,211.2,266,24.7,-2.3,10.9,-0.4
ALBARRACÍN,5,2018,106.4,47.3,180,313.8,101.2,24.2,-1.1,12.4,-0.4
ALBARRACÍN,6,2018,39.4,-1.4,96.6,353.2,100.7,31.9,5.9,17,-0.4
ALBARRACÍN,3,2018,66,43.3,290.7,160.6,76.8,19.6,-4.1,5.5,-1.4
ALBARRACÍN,7,2018,16.4,-1.6,91.1,369.6,100.2,34,10.4,21.5,0.5
ALBARRACÍN,11,2018,36,6.2,120.8,247.2,226.4,17.7,-2.4,7.1,0.7
ALBARRACÍN,4,2018,46.8,4.9,111.7,207.4,82.6,24.4,-2.7,9.6,0.9
