ESTACIONES,MES,AÑO,PRECIP. MES (mm.),ANOMALIA RESPEC. PROMEDIO CLIMATOLOGICO,% RESPECTO PROMEDIO CLIMATOLOGICO,PREC. ACUM. AÑO AGRIC. (mm.),% RESPECTO PROMEDIO CLIMATOLOGICO,Tª  MÁXIMA ABSOL (ºC),Tª  MINIMA ABSOL. (ºC),TEMP. MEDIA DE MEDIAS (ºC),ANOMALIA (ºC)
AINSA,9,2015,111.8,18.64,120.008587376556,111.8,120.008587376556,29,6,17.3,-0.863333333333333
AINSA,12,2015,5.1,-79.8166666666667,6.00588812561335,197.3,51.8878262165455,16.4,-2,7.4,2.96383333333333
AINSA,11,2015,40,-55.6633333333334,41.8133035994285,192.2,65.0804758572428,23,-5.8,8.7,1.7
AINSA,5,2015,18,-84.7433333333333,17.5193848749311,719.596666666667,68.5244975194438,32.5,4.3,17.7,1.19
AINSA,8,2015,39.6,-19.6133333333333,66.8768295428958,688.7,75.0405875110322,36.8,9.4,22.4,-0.766666666666673
AINSA,7,2015,51.2,-13.39,79.2692367239511,649.1,75.6036293469272,39.8,13.2,26,2.91666666666667
AINSA,10,2015,40.4,-66.1033333333333,37.9330850364621,152.2,76.2283176680746,24.1,0.4,12.7,0
AINSA,4,2015,46.4,-45.68,50.390964378801,475.1,77.0199291025419,26.6,-0.1,13.2,1.69
AINSA,2,2015,11.2,-27.4533333333333,28.9755087961366,373.9,78.7600056171886,18.5,-6.7,5.3,-0.543333333333334
AINSA,3,2015,54.8,4.76,109.51239008793,428.7,81.6924132323797,28.1,-2.2,10.5,785
AINSA,1,2015,20.4,-35.4366666666667,36.5351322309116,362.7,83.1728123280132,15.8,-5,4.7,0.7
AINSA,6,2015,56.4,-17.97,75.8370310609117,676.7,85.230278349217,32.2,8.6,20.4,0.0553333333333299
ALBARRACÍN,2,2015,19.8,-0.599999999999998,97.0588235294118,195.6,104.935622317597,12.8,-10.2,2.4,-2
ALBARRACÍN,1,2015,25.2,2.3,110.043668122271,175.8,105.903614457831,17.9,-7.2,3.7,0.8
ALBARRACÍN,5,2015,28.2,-30.9,47.7157360406091,310.1,108.223153821348,33.2,1.5,15.1,2.3
ALBARRACÍN,8,2015,23.6,-5.5,81.0996563573883,432,108.597285067873,36,7.3,21.3,0.600000000000002
ALBARRACÍN,7,2015,18.6,0.600000000000002,103.333333333333,408.4,110.767561703282,36.4,12.8,24.5,3.5
ALBARRACÍN,4,2015,23.6,-18.3,56.3245823389022,307.4,122.470119521912,22.1,-1.2,10.4,1.7
ALBARRACÍN,3,2015,88.2,65.5,388.546255506608,283.8,135.724533715925,22.6,-4.7,7.3,0.4
ALBARRACÍN,6,2015,26.8,-14,65.6862745098039,219.4,62.5249358791679,30.3,3.8,18.1,0.700000000000003
ALBARRACÍN,12,2015,0,-33.9,0,90.6,63.3123689727463,19.9,-3.3,7.7,4.3
ALBARRACÍN,10,2015,31,-11.3,73.2860520094563,58.6,73.8035264483627,22,-2.4,12.1,0.799999999999999
ALBARRACÍN,9,2015,27.6,-9.5,74.3935309973046,27.6,74.3935309973046,26.7,3.5,15.6,-0.700000000000001
ALBARRACÍN,11,2015,32,2.2,107.38255033557,90.6,82.967032967033,22.7,-5.9,8.8,2.4
ALCAÑIZ,5,2015,5.1,-44.4,10.3030303030303,270.286666666667,112.214192338998,33.9,5.3,18.5,1.9
ALCAÑIZ,1,2015,25.9,2.46666666666666,110.526315789474,172.6,115.890778871979,19.3,-2.9,6.5,0.9
ALCAÑIZ,8,2015,14.1,-11.2,55.7312252964427,395.2,117.336183605,37.6,10.5,24,0.5
ALCAÑIZ,2,2015,25.8,7.2,138.709677419355,198.4,118.424194190211,18.1,-2.9,6.2,-1.4
ALCAÑIZ,7,2015,37.2,21.3766666666667,235.095850010533,381.1,122.339571763346,42.3,13.6,26.5,2.8
ALCAÑIZ,4,2015,11.2,-22.1533333333333,33.5798520887467,298.2,135.062503774383,26.7,0.4,13.7,1.2
ALCAÑIZ,3,2015,88.6,68.7,445.226130653266,287,153.121109727903,23.1,-1.8,10.7,0.199999999999999
ALCAÑIZ,10,2015,5.5,-34.9,13.6138613861386,27.3,37.0420624151968,26.6,2.4,15.1,0.4
ALCAÑIZ,12,2015,0.8,-21.7,3.55555555555556,58.2,46.3745019920319,17.8,-3,6.6,0.5
ALCAÑIZ,11,2015,30.1,0.800000000000001,102.730375426621,57.4,55.7281553398058,23.4,-0.7,11,2
ALCAÑIZ,6,2015,18.8,-6.57,74.103271580607,168,56.8252285975218,34.7,10,22.1,1.4
ALCAÑIZ,9,2015,21.8,-11.5,65.4654654654655,21.8,65.4654654654655,30.1,8.4,18.8,-0.199999999999999
ALHAMA DE ARAGON,8,2015,27.8,5.3,123.555555555556,425.4,100.401227283455,39.5,8.4,23.7,0.899999999999999
ALHAMA DE ARAGON,3,2015,54.2,31.7,240.888888888889,238.2,109.51724137931,25.3,-5.6,9.2,0.399999999999999
ALHAMA DE ARAGON,9,2015,16.6,-18.2,47.7011494252874,16.6,47.7011494252874,32.4,5.5,18.6,0
ALHAMA DE ARAGON,12,2015,2.4,-29.7,7.47663551401869,84.8,58.2817869415808,19.8,-5.9,7.4,2.1
ALHAMA DE ARAGON,10,2015,36.2,-9.4,79.3859649122807,52.8,65.6716417910448,25.8,-0.1,14.7,1
ALHAMA DE ARAGON,6,2015,43.4,3.1,107.692307692308,264.6,69.5766500131475,33.8,6.6,20.6,0.900000000000002
ALHAMA DE ARAGON,11,2015,29.6,-3.4,89.6969696969697,82.4,72.663139329806,24.5,-3.9,11,2.7
ALHAMA DE ARAGON,5,2015,7.2,-63.2,10.2272727272727,340,78.2941176470588,36.5,3.7,17.4,2.4
ALHAMA DE ARAGON,2,2015,19.2,-3.9,83.1168831168831,184,94.3589743589743,14.8,-8.3,4.3,-1.6
ALHAMA DE ARAGON,1,2015,6.8,-19.6,25.7575757575758,164.8,95.86969168121,17.3,-7.5,4.6,0.199999999999999
ALHAMA DE ARAGON,4,2015,20.8,-31.3,39.9232245681382,259,96.0682492581602,24.4,0.7,12.7,2
ALHAMA DE ARAGON,7,2015,68.4,47.5,327.272727272727,397,98.9531405782652,39.8,13.5,26.7,3.7
ALMUDEVAR,8,2015,53.4,32.07,250.351617440225,445.9,100.662959311907,34.2,11,23.2,0.420476190476194
ALMUDEVAR,1,2015,21.6,-5.61666666666666,79.3631353337416,210.7,101.119820828667,15.9,-4.6,5.5,0.57
ALMUDEVAR,4,2015,18.6,-28.71,39.3151553582752,331.5,108.15660685155,26,2,13.5,1.57091954022989
ALMUDEVAR,6,2015,29.4,-11.0366666666667,72.7062896710906,454.9,113.960518404703,31.9,9.2,21,0.262238095238093
ALMUDEVAR,3,2015,79.4,53.8133333333333,310.317873892652,312.9,120.722250086809,22.9,-2,10.5,0.755977011494254
ALMUDEVAR,9,2015,68.6,23.2033333333333,151.112416476981,68.6,151.112416476981,30.1,6.7,18.1,-1.09724137931034
ALMUDEVAR,12,2015,4.6,-33.22,12.16287678477,108.6,59.9503174165056,17.9,-4.9,6.9,1.31747126436782
ALMUDEVAR,11,2015,17,-28.5766666666667,37.2997879031668,104,72.5598269727203,24,-3,10.5,1.46459770114942
ALMUDEVAR,10,2015,18.4,-33.9566666666667,35.1435665626791,87,88.9995226079247,25.6,0.1,15,0.421034482758621
ALMUDEVAR,7,2015,22.6,0.140000000000001,100.623330365094,392.5,93.0903628745356,40.2,11.6,25.3,2.05747126436781
ALMUDEVAR,5,2015,4.8,-47.4366666666667,9.18894773785974,358.736666666667,93.7456444374239,32.2,5.6,17.7,1.6502380952381
ALMUDEVAR,2,2015,22.8,-2.43666666666667,90.3447364945186,233.5,99.9557654713831,16.4,-7.2,5.4,-1.28609195402299
ANDORRA,2,2015,20.2,-1.6,92.6605504587156,186,105.144149236857,16.2,-4.7,4.5,-2.2
